ENVI ASCII Plot File [Fri Sep 19 10:11:48 2014]
Column 1: Wavelength
Column 2: X:7240 Y:6235~~1
Column 3: X:7240 Y:6234~~2
Column 4: X:7240 Y:6233~~3
Column 5: X:7240 Y:6232~~4
Column 6: X:7240 Y:6231~~5
Column 7: X:7240 Y:6230~~6
Column 8: X:7240 Y:6229~~7
Column 9: X:7240 Y:6228~~8
Column 10: X:7240 Y:6227~~9
Column 11: X:7240 Y:6226~~10
Column 12: X:7240 Y:6225~~11
Column 13: X:7240 Y:6224~~12
Column 14: X:7240 Y:6223~~13
Column 15: X:7240 Y:6222~~14
Column 16: X:7240 Y:6221~~15
Column 17: X:7240 Y:6220~~16
Column 18: X:7240 Y:6219~~17
Column 19: X:7240 Y:6218~~18
Column 20: X:7240 Y:6217~~19
Column 21: X:7240 Y:6216~~20
Column 22: X:7240 Y:6215~~21
Column 23: X:7240 Y:6214~~22
Column 24: X:7240 Y:6213~~23
Column 25: X:7240 Y:6212~~24
Column 26: X:7240 Y:6211~~25
Column 27: X:7240 Y:6210~~26
Column 28: X:7240 Y:6209~~27
Column 29: X:7240 Y:6208~~28
Column 30: X:7240 Y:6207~~29
Column 31: X:7241 Y:6207~~30
Column 32: X:7241 Y:6208~~31
Column 33: X:7241 Y:6209~~32
Column 34: X:7241 Y:6210~~33
Column 35: X:7241 Y:6211~~34
Column 36: X:7241 Y:6212~~35
Column 37: X:7241 Y:6213~~36
Column 38: X:7241 Y:6214~~37
Column 39: X:7241 Y:6215~~38
Column 40: X:7241 Y:6216~~39
Column 41: X:7241 Y:6217~~40
Column 42: X:7241 Y:6218~~41
Column 43: X:7241 Y:6219~~42
Column 44: X:7241 Y:6220~~43
Column 45: X:7241 Y:6221~~44
Column 46: X:7241 Y:6222~~45
Column 47: X:7241 Y:6223~~46
Column 48: X:7241 Y:6224~~47
Column 49: X:7241 Y:6225~~48
Column 50: X:7241 Y:6226~~49
Column 51: X:7241 Y:6227~~1
Column 52: X:7241 Y:6228~~2
Column 53: X:7241 Y:6229~~3
Column 54: X:7241 Y:6230~~4
Column 55: X:7241 Y:6231~~5
Column 56: X:7241 Y:6232~~6
Column 57: X:7241 Y:6233~~7
Column 58: X:7241 Y:6234~~8
Column 59: X:7241 Y:6235~~9
Column 60: X:7241 Y:6236~~10
Column 61: X:7241 Y:6237~~11
Column 62: X:7241 Y:6238~~12
Column 63: X:7241 Y:6239~~13
Column 64: X:7241 Y:6240~~14
Column 65: X:7241 Y:6241~~15
Column 66: X:7242 Y:6241~~16
Column 67: X:7242 Y:6240~~17
Column 68: X:7242 Y:6239~~18
Column 69: X:7242 Y:6238~~19
Column 70: X:7242 Y:6237~~20
Column 71: X:7242 Y:6236~~21
Column 72: X:7242 Y:6235~~22
Column 73: X:7242 Y:6234~~23
Column 74: X:7242 Y:6233~~24
Column 75: X:7242 Y:6232~~25
Column 76: X:7242 Y:6231~~26
Column 77: X:7242 Y:6230~~27
