ENVI ASCII Plot File [Wed Oct 24 14:57:41 2018]
Column 1: Wavelength
Column 2: X:4396 Y:9223~~1
Column 3: X:4395 Y:9222~~2
Column 4: X:4395 Y:9221~~3
Column 5: X:4396 Y:9221~~4
Column 6: X:4397 Y:9221~~5
Column 7: X:4398 Y:9221~~6
Column 8: X:4398 Y:9220~~7
Column 9: X:4398 Y:9219~~8
Column 10: X:4397 Y:9219~~9
Column 11: X:4397 Y:9218~~10
Column 12: X:4397 Y:9217~~11
Column 13: X:4397 Y:9216~~12
Column 14: X:4398 Y:9216~~13
Column 15: X:4399 Y:9216~~14
Column 16: X:4400 Y:9216~~15
Column 17: X:4401 Y:9216~~16
Column 18: X:4401 Y:9215~~17
Column 19: X:4402 Y:9215~~18
Column 20: X:4402 Y:9214~~19
Column 21: X:4403 Y:9214~~20
Column 22: X:4404 Y:9214~~21
Column 23: X:4405 Y:9214~~22
Column 24: X:4406 Y:9214~~23
Column 25: X:4407 Y:9214~~24
Column 26: X:4407 Y:9213~~25
Column 27: X:4407 Y:9212~~26
Column 28: X:4406 Y:9212~~27
Column 29: X:4405 Y:9212~~28
Column 30: X:4404 Y:9212~~29
Column 31: X:4403 Y:9212~~30
Column 32: X:4402 Y:9212~~31
Column 33: X:4401 Y:9212~~32
Column 34: X:4400 Y:9212~~33
Column 35: X:4400 Y:9211~~34
Column 36: X:4400 Y:9210~~35
Column 37: X:4399 Y:9210~~36
Column 38: X:4398 Y:9210~~37
Column 39: X:4398 Y:9209~~38
Column 40: X:4397 Y:9209~~39
Column 41: X:4396 Y:9209~~40
Column 42: X:4395 Y:9209~~41
Column 43: X:4395 Y:9208~~42
Column 44: X:4394 Y:9208~~43
Column 45: X:4393 Y:9208~~44
Column 46: X:4393 Y:9207~~45
Column 47: X:4393 Y:9206~~46
Column 48: X:4394 Y:9206~~47
Column 49: X:4395 Y:9206~~48
Column 50: X:4396 Y:9206~~49
Column 51: X:4397 Y:9206~~1
Column 52: X:4398 Y:9206~~2
Column 53: X:4399 Y:9206~~3
Column 54: X:4400 Y:9206~~4
Column 55: X:4401 Y:9206~~5
Column 56: X:4402 Y:9206~~6
Column 57: X:4402 Y:9205~~7
Column 58: X:4402 Y:9204~~8
Column 59: X:4402 Y:9203~~9
Column 60: X:4402 Y:9202~~10
Column 61: X:4402 Y:9201~~11
Column 62: X:4401 Y:9201~~12
Column 63: X:4400 Y:9201~~13
Column 64: X:4399 Y:9201~~14
Column 65: X:4398 Y:9201~~15
Column 66: X:4397 Y:9201~~16
Column 67: X:4396 Y:9201~~17
Column 68: X:4396 Y:9200~~18
Column 69: X:4396 Y:9199~~19
Column 70: X:4396 Y:9198~~20
Column 71: X:4397 Y:9198~~21
Column 72: X:4397 Y:9197~~22
Column 73: X:4397 Y:9196~~23
Column 74: X:4396 Y:9196~~24
Column 75: X:4395 Y:9196~~25
Column 76: X:4394 Y:9196~~26
Column 77: X:4394 Y:9195~~27
Column 78: X:4394 Y:9194~~28
Column 79: X:4395 Y:9194~~29
Column 80: X:4395 Y:9193~~30
Column 81: X:4395 Y:9192~~31
Column 82: X:4396 Y:9192~~32
Column 83: X:4396 Y:9191~~33
Column 84: X:4396 Y:9190~~34
Column 85: X:4395 Y:9190~~35
Column 86: X:4394 Y:9190~~36
Column 87: X:4394 Y:9189~~37
Column 88: X:4395 Y:9189~~38
Column 89: X:4396 Y:9189~~39
Column 90: X:4396 Y:9190~~40
Column 91: X:4396 Y:9191~~41
Column 92: X:4397 Y:9191~~42
Column 93: X:4398 Y:9191~~43
Column 94: X:4399 Y:9191~~44
Column 95: X:4399 Y:9192~~45
Column 96: X:4399 Y:9193~~46
Column 97: X:4400 Y:9193~~47
Column 98: X:4400 Y:9194~~48
Column 99: X:4400 Y:9195~~49
Column 100: X:4400 Y:9196~~1
Column 101: X:4399 Y:9196~~2
Column 102: X:4399 Y:9197~~3
Column 103: X:4399 Y:9198~~4
Column 104: X:4399 Y:9199~~5
Column 105: X:4400 Y:9199~~6
Column 106: X:4401 Y:9199~~7
Column 107: X:4401 Y:9200~~8
Column 108: X:4402 Y:9200~~9
Column 109: X:4403 Y:9200~~10
Column 110: X:4403 Y:9201~~11
Column 111: X:4403 Y:9202~~12
Column 112: X:4403 Y:9203~~13
Column 113: X:4404 Y:9203~~14
Column 114: X:4405 Y:9203~~15
Column 115: X:4405 Y:9204~~16
Column 116: X:4405 Y:9205~~17
Column 117: X:4406 Y:9205~~18
Column 118: X:4406 Y:9206~~19
Column 119: X:4406 Y:9207~~20
Column 120: X:4407 Y:9207~~21
Column 121: X:4408 Y:9207~~22
Column 122: X:4408 Y:9208~~23
Column 123: X:4408 Y:9209~~24
Column 124: X:4408 Y:9210~~25
Column 125: X:4411 Y:9210~~26
Column 126: X:4411 Y:9211~~27
Column 127: X:4411 Y:9212~~28
Column 128: X:4411 Y:9213~~29
Column 129: X:4411 Y:9214~~30
Column 130: X:4410 Y:9214~~31
Column 131: X:4410 Y:9213~~32
Column 132: X:4410 Y:9212~~33
Column 133: X:4409 Y:9212~~34
Column 134: X:4409 Y:9211~~35
Column 135: X:4408 Y:9211~~36
Column 136: X:4407 Y:9211~~37
Column 137: X:4406 Y:9211~~38
Column 138: X:4406 Y:9212~~39
Column 139: X:4407 Y:9212~~40
Column 140: X:4407 Y:9213~~41
Column 141: X:4408 Y:9213~~42
Column 142: X:4408 Y:9214~~43
Column 143: X:4407 Y:9214~~44
Column 144: X:4406 Y:9214~~45
Column 145: X:4405 Y:9214~~46
Column 146: X:4405 Y:9213~~47
Column 147: X:4404 Y:9213~~48
Column 148: X:4404 Y:9214~~49
Column 149: X:4404 Y:9215~~1
Column 150: X:4404 Y:9216~~2
Column 151: X:4404 Y:9217~~3
