ENVI ASCII Plot File [Thu Oct 25 13:41:56 2018]
Column 1: Wavelength
Column 2: X:5840 Y:4536~~1
Column 3: X:5842 Y:4537~~2
Column 4: X:5842 Y:4538~~3
Column 5: X:5843 Y:4538~~4
Column 6: X:5843 Y:4539~~5
Column 7: X:5843 Y:4540~~6
Column 8: X:5844 Y:4540~~7
Column 9: X:5845 Y:4540~~8
Column 10: X:5845 Y:4539~~9
Column 11: X:5845 Y:4538~~10
Column 12: X:5845 Y:4537~~11
Column 13: X:5845 Y:4536~~12
Column 14: X:5844 Y:4536~~13
Column 15: X:5843 Y:4536~~14
Column 16: X:5843 Y:4535~~15
Column 17: X:5843 Y:4534~~16
Column 18: X:5842 Y:4534~~17
Column 19: X:5841 Y:4534~~18
Column 20: X:5841 Y:4533~~19
Column 21: X:5840 Y:4533~~20
Column 22: X:5839 Y:4533~~21
Column 23: X:5838 Y:4533~~22
Column 24: X:5837 Y:4533~~23
Column 25: X:5837 Y:4532~~24
Column 26: X:5837 Y:4531~~25
Column 27: X:5837 Y:4530~~26
Column 28: X:5837 Y:4529~~27
Column 29: X:5838 Y:4529~~28
Column 30: X:5839 Y:4529~~29
Column 31: X:5839 Y:4528~~30
Column 32: X:5839 Y:4527~~31
Column 33: X:5839 Y:4526~~32
Column 34: X:5838 Y:4526~~33
Column 35: X:5837 Y:4526~~34
Column 36: X:5837 Y:4525~~35
Column 37: X:5837 Y:4524~~36
Column 38: X:5837 Y:4523~~37
Column 39: X:5838 Y:4523~~38
Column 40: X:5839 Y:4523~~39
Column 41: X:5839 Y:4524~~40
Column 42: X:5839 Y:4525~~41
Column 43: X:5840 Y:4525~~42
Column 44: X:5841 Y:4525~~43
Column 45: X:5841 Y:4526~~44
Column 46: X:5841 Y:4527~~45
Column 47: X:5841 Y:4528~~46
Column 48: X:5841 Y:4529~~47
Column 49: X:5841 Y:4530~~48
Column 50: X:5842 Y:4530~~49
Column 51: X:5843 Y:4530~~1
