ENVI ASCII Plot File [Thu Oct 18 15:31:44 2018]
Column 1: Wavelength
Column 2: X:8305 Y:6657~~1
Column 3: X:8304 Y:6656~~2
Column 4: X:8303 Y:6656~~3
Column 5: X:8302 Y:6656~~4
Column 6: X:8302 Y:6655~~5
Column 7: X:8301 Y:6655~~6
Column 8: X:8300 Y:6655~~7
Column 9: X:8300 Y:6654~~8
Column 10: X:8300 Y:6653~~9
Column 11: X:8299 Y:6653~~10
Column 12: X:8299 Y:6652~~11
Column 13: X:8299 Y:6651~~12
Column 14: X:8298 Y:6651~~13
Column 15: X:8297 Y:6651~~14
Column 16: X:8297 Y:6650~~15
Column 17: X:8297 Y:6649~~16
Column 18: X:8296 Y:6649~~17
Column 19: X:8295 Y:6649~~18
Column 20: X:8294 Y:6649~~19
Column 21: X:8293 Y:6649~~20
Column 22: X:8293 Y:6650~~21
Column 23: X:8294 Y:6650~~22
Column 24: X:8294 Y:6651~~23
Column 25: X:8293 Y:6651~~24
Column 26: X:8293 Y:6652~~25
Column 27: X:8294 Y:6652~~26
Column 28: X:8295 Y:6652~~27
Column 29: X:8295 Y:6653~~28
Column 30: X:8294 Y:6653~~29
Column 31: X:8293 Y:6653~~30
Column 32: X:8292 Y:6653~~31
Column 33: X:8292 Y:6654~~32
Column 34: X:8293 Y:6654~~33
Column 35: X:8294 Y:6654~~34
Column 36: X:8295 Y:6654~~35
Column 37: X:8296 Y:6654~~36
Column 38: X:8296 Y:6655~~37
Column 39: X:8295 Y:6655~~38
Column 40: X:8294 Y:6655~~39
Column 41: X:8293 Y:6655~~40
Column 42: X:8292 Y:6655~~41
Column 43: X:8292 Y:6656~~42
Column 44: X:8292 Y:6657~~43
Column 45: X:8293 Y:6657~~44
Column 46: X:8294 Y:6657~~45
Column 47: X:8295 Y:6657~~46
Column 48: X:8296 Y:6657~~47
Column 49: X:8297 Y:6657~~48
Column 50: X:8297 Y:6658~~49
Column 51: X:8297 Y:6659~~1
Column 52: X:8296 Y:6659~~2
Column 53: X:8295 Y:6659~~3
Column 54: X:8295 Y:6660~~4
Column 55: X:8296 Y:6660~~5
Column 56: X:8296 Y:6661~~6
Column 57: X:8295 Y:6661~~7
Column 58: X:8295 Y:6662~~8
Column 59: X:8296 Y:6662~~9
Column 60: X:8297 Y:6662~~10
Column 61: X:8297 Y:6663~~11
Column 62: X:8296 Y:6663~~12
Column 63: X:8295 Y:6663~~13
Column 64: X:8295 Y:6664~~14
Column 65: X:8296 Y:6664~~15
Column 66: X:8297 Y:6664~~16
Column 67: X:8298 Y:6664~~17
Column 68: X:8299 Y:6664~~18
Column 69: X:8300 Y:6664~~19
Column 70: X:8300 Y:6665~~20
Column 71: X:8299 Y:6665~~21
Column 72: X:8299 Y:6666~~22
Column 73: X:8300 Y:6666~~23
Column 74: X:8301 Y:6666~~24
Column 75: X:8301 Y:6667~~25
Column 76: X:8300 Y:6667~~26
Column 77: X:8300 Y:6668~~27
Column 78: X:8301 Y:6668~~28
Column 79: X:8302 Y:6668~~29
Column 80: X:8303 Y:6668~~30
Column 81: X:8304 Y:6668~~31
Column 82: X:8304 Y:6669~~32
Column 83: X:8304 Y:6670~~33
Column 84: X:8304 Y:6671~~34
Column 85: X:8305 Y:6671~~35
Column 86: X:8306 Y:6671~~36
Column 87: X:8306 Y:6672~~37
Column 88: X:8305 Y:6672~~38
Column 89: X:8304 Y:6672~~39
Column 90: X:8303 Y:6672~~40
Column 91: X:8302 Y:6672~~41
Column 92: X:8301 Y:6672~~42
Column 93: X:8300 Y:6672~~43
Column 94: X:8299 Y:6672~~44
Column 95: X:8298 Y:6672~~45
Column 96: X:8299 Y:6672~~46
Column 97: X:8300 Y:6672~~47
Column 98: X:8300 Y:6673~~48
Column 99: X:8301 Y:6673~~49
Column 100: X:8302 Y:6673~~1
Column 101: X:8302 Y:6672~~2
Column 102: X:8302 Y:6671~~3
Column 103: X:8303 Y:6671~~4
Column 104: X:8303 Y:6672~~5
Column 105: X:8303 Y:6673~~6
Column 106: X:8304 Y:6673~~7
Column 107: X:8305 Y:6673~~8
Column 108: X:8305 Y:6672~~9
Column 109: X:8306 Y:6672~~10
Column 110: X:8306 Y:6673~~11
Column 111: X:8306 Y:6674~~12
Column 112: X:8306 Y:6675~~13
Column 113: X:8305 Y:6675~~14
Column 114: X:8305 Y:6676~~15
Column 115: X:8306 Y:6676~~16
Column 116: X:8307 Y:6676~~17
Column 117: X:8308 Y:6676~~18
Column 118: X:8308 Y:6677~~19
Column 119: X:8308 Y:6678~~20
Column 120: X:8309 Y:6678~~21
Column 121: X:8310 Y:6678~~22
Column 122: X:8310 Y:6677~~23
Column 123: X:8309 Y:6677~~24
Column 124: X:8309 Y:6676~~25
Column 125: X:8309 Y:6675~~26
Column 126: X:8309 Y:6674~~27
Column 127: X:8310 Y:6674~~28
Column 128: X:8310 Y:6673~~29
Column 129: X:8310 Y:6672~~30
Column 130: X:8310 Y:6671~~31
Column 131: X:8310 Y:6670~~32
Column 132: X:8310 Y:6669~~33
Column 133: X:8311 Y:6669~~34
Column 134: X:8311 Y:6668~~35
Column 135: X:8311 Y:6667~~36
Column 136: X:8310 Y:6667~~37
Column 137: X:8309 Y:6667~~38
Column 138: X:8308 Y:6667~~39
Column 139: X:8308 Y:6666~~40
Column 140: X:8308 Y:6665~~41
Column 141: X:8308 Y:6664~~42
Column 142: X:8308 Y:6663~~43
Column 143: X:8307 Y:6663~~44
Column 144: X:8306 Y:6663~~45
Column 145: X:8305 Y:6663~~46
Column 146: X:8305 Y:6662~~47
Column 147: X:8305 Y:6661~~48
Column 148: X:8304 Y:6661~~49
Column 149: X:8303 Y:6661~~1
Column 150: X:8302 Y:6661~~2
Column 151: X:8302 Y:6660~~3
